ASV_ID	Phylum	Class	Order	Family	Genus	Species	pct_identity	status	records	selected_level	BIN	flags	Original_OTU_Count
b92631f373d88503396d5106cf9aa374	Arthropoda	Insecta	Hymenoptera				87.267	public	1	Order		4	1
5e53c3511af40c0951c375f0c8714289	Arthropoda	Insecta	Diptera	Cecidomyiidae	Dasineura		97.656	public	1	Genus		1--4	1
7cdcda47c19e53938488078d33d17a5a	Arthropoda	Insecta	Hymenoptera				85.67	public	1	Order		2--4	1
2f8008c3e9678cc4389cd480a3d1c420	Arthropoda	Insecta	Lepidoptera				87.188	public	1	Order		1--4	1
c15a40ea3c10f9f38c44c015dde304e9	Arthropoda	Insecta	Diptera				86.139	public	48	Order			1
7c5f0bbd65db0f84d60a65e93d8f0611	Arthropoda	Insecta	Hymenoptera				85.625	public	1	Order		4	1
5d560ec395ab5642a8237c0be2a64b84	Arthropoda	Insecta	Lepidoptera				86.379	public	1	Order		1--4	1
8591a209cba1f3bd70b52f8adf4ded5f	Arthropoda	Arachnida	Sarcoptiformes				88.994	public	99	Order			1
2d0663ea959c9daed38d3d5c1e375a82	Arthropoda	Insecta	Lepidoptera				85.149	public	1	Order		1--4	1
7c8cafb5c249adc387f600e10ebbebb0	Arthropoda	Insecta	Coleoptera				85.032	public	1	Order		2--4	1
2793864e7fc6821ff6dad8052cbb4fc1	Arthropoda	Insecta	Lepidoptera				87.227	public	1	Order		1--4	1
113ab2bed5d79b611060ff98aeca7329	Arthropoda	Insecta	Hemiptera				85.489	public	2	Order		1--2	1
7a96aaaf4b5dc62ef88e1afdef460ea9	Arthropoda	Insecta	Lepidoptera				85.577	public	1	Order		1--4	1
59d56df6ad747b3f3fa3cbc14b687bdc	Arthropoda	Insecta	Hemiptera				85.669	public	2	Order		1--2	1
2397b1fe17ca5c752d07374d17d01fb5	Arthropoda	Insecta	Lepidoptera				88.462	public	1	Order		1--4	1
b1a92f3813aaa10c820118039e982c2b	Arthropoda	Insecta	Hemiptera				85.174	public	2	Order		1--2	1
5617af03bcc6ddf97642542320c78b99	Arthropoda	Insecta	Hymenoptera				87.5	public	1	Order		2--4	1
68442d8a0e54433a8644a1b96aa18c4d	Arthropoda	Insecta	Hemiptera				86.557	public	2	Order		1--2	1
8662ff73dbddda3c6462d0709d9cfc68	Arthropoda	Insecta	Lepidoptera				85.0	public	1	Order		1--4	1
d31d70d2823f7e31737a3c1607264f98	Arthropoda	Insecta	Hymenoptera				85.0	public	1	Order		4	1
